X,Y,osm_id,amenity,religion,denomination,building,name,leisure,access,surface,brand,shop,operator,tourism,historic,addr:housenumber,layer,hgv,bus,parking,cuisine,brand:wikipedia,brand:wikidata,takeaway,opening_hours,fuel:octane_98,fuel:octane_95,fuel:diesel,smoking,wheelchair,building:colour,addr:city,roof:colour,height,roof:shape,roof:orientation,addr:street,unisex,townhall:type,short_name,internet_access,emergency,website,building:part
-8.70348822596238,41.2777980284334,686427886,place_of_worship,christian,catholic,church,Igreja São Tiago de Labruge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.70463254316393,41.2886540498899,288722025,,,,,,playground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.70459916916696,41.2880728630136,735328378,parking,,,,,,no,asphalt,,,,,,,,yes,yes,surface,,,,,,,,,,,,,,,,,,,,,,,,
-8.70446042984672,41.2885061997236,288722010,fast_food,,,yes,Burger King,,,,Burger King,,,,,,,,,,burger,en:Burger King,Q177054,yes,,,,,,,,,,,,,,,,,,,,
-8.70411733313395,41.2885166727963,735328379,parking,,,,,,,asphalt,,,,,,,,,,surface,,,,,,,,,,,,,,,,,,,,,,,,
-8.70516605,41.2887198,288722012,car_wash,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.70471309471493,41.2890596600608,735328381,fuel,,,,,,,,Galp,convenience,,,,,,,,,,,,,24/7,,,,,,,,,,,,,,,,,,,
-8.70458930379167,41.2888974427863,288722009,,,,retail,,,,,,convenience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.70342666228921,41.2892815535139,735343669,parking,,,,,,,asphalt,,,,,,,,,,surface,,,,,,,,,,,,,,,,,,,,,,,,
-8.70290854617222,41.2888389453072,288722016,,,,retail,,,,,,convenience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.70284077498736,41.2887536161553,735343671,fuel,,,,,,,,Galp,,,,,,,,,,,,,,24/7,,,,,,,,,,,,,,,,,,,
-8.70307805,41.28928545,288722017,fast_food,,,yes,Pans & Company,,,,Pans & Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.70288263845058,41.2890927998265,288722020,,,,,,playground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.7023444178541,41.2890433502583,288722019,car_wash,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.70352997883073,41.2899335574674,735343666,parking,,,,,,no,asphalt,,,,,,,,yes,yes,surface,,,,,,,,,,,,,,,,,,,,,,,,
-8.70682235779444,41.2975429387787,557948935,fuel,,,,Ecobrent,,,,,,Ecobrent,,,,,,,,,,,,,yes,yes,yes,,,,,,,,,,,,,,,,
-8.71002518823962,41.3002739106018,409053336,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.7080525607979,41.2985477270176,409046714,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.70738657886664,41.2976030013527,409046715,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.70673449669664,41.2981483290692,409050780,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.7074211670427,41.2987287014225,409046719,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.70934948272145,41.2996075968863,409053334,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.70856578096819,41.2992074719448,409046720,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.70734781284562,41.2993414301061,409046713,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.70968257156361,41.3015492350376,350968817,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.70708900617142,41.3018524501249,409047740,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.70746309957963,41.3024586500006,350968805,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.70616756936408,41.297680097885,409050779,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.70543368168776,41.2980981345207,409052973,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.70536895333296,41.2986156890807,409052972,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.70583584697378,41.2990255851946,409046712,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.70642329766373,41.29941436287,409046711,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.70432394785541,41.299125994779,409052974,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.70437366779548,41.2994554918043,409052980,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.70417597039911,41.3003461499326,409052985,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.70591072598509,41.300602456605,387757433,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,outside,,,,,,,,,,,,,,,
-8.70627825,41.3011491,387757432,food_court,,,,,,,,,,,,,,,,,,,,,,,,,,no,yes,,,,,,,,,,,,,,
-8.70429489194485,41.307571233842,350968813,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.70407438937375,41.3082287690189,712991895,parking,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.70359591129286,41.3074630096644,350968820,parking,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.69399931903591,41.2850498000432,133533418,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.6818923958769,41.2847511911686,258994683,,,,yes,Museu dos Telefones,,,,,,,museum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67549285717261,41.2807125998999,407214335,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.6754110603224,41.2806108497059,407214336,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67478647530276,41.2807408558641,407214338,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67112640750276,41.2785826444322,405892454,,,,,,playground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.6714667066439,41.2788687507423,405891930,,,,,,,,,,,,,monument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.67058895243765,41.2788799330651,331247655,,,,,,,,,,car_repair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.6695601262906,41.2801911298347,330367625,place_of_worship,christian,roman_catholic,church,Igreja Paroquial de Mosteiró,,,,,,,,,,,,,,,,,,,,,,,,white,Mosteiró,orange,15 m,gabled,along,Padre Ricardo Neto,,,,,,,
-8.66928600085258,41.2802575257391,372465925,toilets,,,yes,,,public,,,,,,,,,,,,,,,,,,,,,,,,,3 m,,,,yes,,,,,,
-8.67378747403022,41.2815846095581,407214339,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.66783640760935,41.2801863990372,330892659,townhall,,,yes,Junta de Freguesia de Mosteiró,,,,,,,,,,,,,,,,,,,,,,,,,Mosteiró,,,,,Rua Central,,village,,,,,
-8.66760201418018,41.2801655488542,407491201,,,,yes,Casa Mortuária de Mosteiró,,,,,funeral_directors,,,,,,,,,,,,,,,,,,,,Mosteiró,,,,,Rua Central,,,,,,,
-8.66473076407615,41.2803054055405,331485728,,,,,,playground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.66418406645296,41.2804175955608,332105304,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.66469706798242,41.280411882187,330891470,school,,,,Escola Básica do 1º Ciclo e Jardim de Infância de Mosteiró,,,,,,,,,1040,,,,,,,,,,,,,,,,Mosteiró,,,,,Rua Central,,,EB1-JI de Mosteiró,,,,
-8.6577807909143,41.2818761856298,438533331,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.65762035883751,41.2824719552313,330367950,cafe,,,yes,Café Arões,,,,,,,,,,,,,,coffee_shop,,,,,,,,outside,,,Mosteiró,,,,,Rua Central,,,,wlan,,,
-8.65741781738027,41.2823784881528,407300167,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.6990848856227,41.2928483999711,133533419,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.69067516475751,41.2943390289379,259057101,pharmacy,,,yes,Farmacia da Árvore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.69085732082588,41.2946097064345,259058104,townhall,,,yes,Junta de Freguesia de Modivas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,village,,,,,
