X,Y,osm_id,power,operator,location:transition
-8.7156607,41.2792245,6468475735,pole,,
-8.7152145,41.280346,6468475736,tower,,
-8.7143561,41.279276,6468475734,pole,,
-8.7128325,41.2789246,6468475733,pole,,
-8.7188267,41.2849497,6468475739,tower,,
-8.7164238,41.281906,6468475737,tower,,
-8.7176325,41.2834509,6468475738,tower,,
-8.708499,41.2770783,6468475728,tower,,
-8.7084175,41.2782173,6468475727,tower,,
-8.7105471,41.2785508,6468475729,pole,,
-8.7073869,41.2789761,6468475731,pole,,
-8.7069401,41.2788015,6468475730,tower,,
-8.7238811,41.2914781,6468475743,tower,,
-8.7241007,41.2970846,6975638222,pole,,
-8.7213802,41.2882641,6468475741,tower,,
-8.7201799,41.2866555,6468475740,tower,,
-8.722968,41.290336,6468475742,tower,,
-8.7220207,41.2965053,6975638223,pole,,
-8.7212368,41.2962861,6975638216,pole,,
-8.7197153,41.2960584,6975638215,pole,,
-8.7176205,41.2957329,6975638214,pole,,
-8.7161735,41.2954574,6975638213,pole,,
-8.7020963,41.301633,6997382175,tower,,
-8.7038938,41.3020646,6997382174,tower,,
-8.7068512,41.3035215,6997382173,tower,,
-8.6150287,41.2422843,4024440000,tower,,
-8.6162475,41.2444227,4061448508,tower,,
-8.617352,41.2463366,4061448509,tower,,
-8.6215827,41.2536126,4061448511,tower,,
-8.6204338,41.2516987,4061448510,tower,,
-8.6249009,41.2594874,4061448513,tower,,
-8.62613,41.2616158,4061448514,tower,,
-8.6274221,41.2638603,1984017755,tower,,
-8.6230283,41.25626,4061448512,tower,,
-8.6999679,41.2813791,3566905817,tower,,
-8.6985785,41.2815114,3566905818,tower,,
-8.6961104,41.2817745,3566905822,tower,,
-8.6939874,41.281989,3566905823,tower,,
-8.6913085,41.2822601,3566905825,tower,,
-8.6892914,41.2824548,3566905827,tower,,
-8.6869031,41.2826943,3566905828,tower,,
-8.6845814,41.2829337,3566905829,tower,,
-8.680504,41.2833711,3566905830,tower,,
-8.6775344,41.2834974,3566905831,tower,,
-8.6724544,41.2837916,3566905834,tower,,
-8.6694138,41.2839549,3566905836,tower,,
-8.6667251,41.2848888,3566905851,tower,,
-8.6645612,41.2856488,3566905877,tower,,
-8.658636,41.2860593,3566906097,tower,,
-8.6887881,41.2925838,3566906840,tower,,
-8.6879546,41.2951543,3566907116,tower,,
-8.6991359,41.3024777,6997382176,tower,,
-8.6970715,41.3030789,6997382177,tower,,
-8.6948434,41.299359,3566907293,tower,,
-8.6931538,41.3002828,3566907324,tower,,
-8.690414,41.3020571,3566907410,tower,,
