X,Y,osm_id,natural
-8.7164202,41.296201,6975638183,tree
-8.7170452,41.2966005,6975638190,tree
-8.7166824,41.296344,6975638185,tree
-8.7168313,41.2964549,6975638188,tree
-8.7169426,41.2965294,6975638189,tree
-8.7168038,41.2965355,6975638187,tree
-8.7166925,41.2964579,6975638186,tree
-8.7165443,41.2963531,6975638184,tree
-8.7169319,41.2966241,6975638191,tree
-8.6756303,41.2807234,4092581992,tree
-8.6754423,41.2807419,4092581993,tree
-8.6747499,41.2805907,4092581687,tree
-8.6747633,41.2806935,4092581686,tree
-8.6749926,41.2807862,4092581688,tree
-8.6749752,41.2809112,4092581989,tree
-8.6747821,41.2807943,4092581685,tree
-8.6748411,41.2810382,4092581683,tree
-8.6748008,41.2809898,4092581684,tree
-8.6742725,41.2809555,4092581991,tree
-8.6742725,41.2810462,4092581990,tree
-8.6715456,41.27778,4095418752,tree
-8.6714758,41.277777,4095418753,tree
-8.6714745,41.2778455,4095418754,tree
-8.6714369,41.2778163,4095418755,tree
-8.6703345,41.2779009,4095418834,tree
-8.670293,41.2779271,4095418833,tree
-8.6701709,41.2777155,4095418832,tree
-8.6719462,41.2788751,4080310382,tree
-8.6716874,41.2788126,4080310376,tree
-8.6717746,41.2789346,4080310381,tree
-8.6716203,41.2787048,4080310377,tree
-8.6715426,41.2788822,4080310386,tree
-8.6713696,41.278731,4080310378,tree
-8.671383,41.2788691,4080310385,tree
-8.6715908,41.2789537,4080310379,tree
-8.6715399,41.2790172,4080310380,tree
-8.6713521,41.2790293,4080310387,tree
-8.6711604,41.2788116,4080310383,tree
-8.6712422,41.2789406,4080310384,tree
-8.6714165,41.2791059,4080310388,tree
-8.6713307,41.2790918,4080310490,tree
-8.6712851,41.2791442,4080310489,tree
-8.6727383,41.2809908,4092564947,tree
-8.6708874,41.2795126,4080327424,tree
-8.6697045,41.279915,3760232300,tree
-8.6699539,41.2802617,3760192171,tree
-8.6699016,41.2802023,3760232729,tree
-8.6737146,41.2814433,4092581677,tree
-8.6737307,41.2815138,4092581678,tree
-8.6737494,41.2815703,4092581679,tree
-8.673795,41.2816973,4092581681,tree
-8.673795,41.2817537,4092581680,tree
-8.6738111,41.2818686,4092581682,tree
-8.6736743,41.2813082,4092581676,tree
-8.6735966,41.2813143,4092581675,tree
-8.6734839,41.2813244,4092581674,tree
-8.6730065,41.2812962,4092581994,tree
-8.6678468,41.2801011,4095417885,tree
-8.6676805,41.2802351,4095417881,tree
-8.6675719,41.2802391,4095417884,tree
-8.6677234,41.2803137,4095417882,tree
-8.6678508,41.2803752,4095417879,tree
-8.6677489,41.2803923,4095417880,tree
-8.6676362,41.2802996,4095417883,tree
-8.6648515,41.2802978,4091144530,tree
-8.6649433,41.2803582,3382996211,tree
-8.6649441,41.2804177,4091144529,tree
-8.6647726,41.2803139,3382996201,tree
-8.6645471,41.2803169,4091144531,tree
-8.664472,41.2803442,4091144532,tree
-8.6649352,41.2804743,3382994863,tree
-8.6647375,41.2804651,4091144533,tree
-8.6582645,41.2789317,4095445850,tree
-8.6583021,41.27897,4095445849,tree
-8.658349,41.2790385,4095445847,tree
-8.6583222,41.2790052,4095445848,tree
-8.6581411,41.2789045,4095445851,tree
-8.6577742,41.2789275,3392204222,tree
-8.65772,41.2789105,4095445852,tree
-8.6577244,41.2789901,3392202028,tree
-8.6576949,41.2790585,3392202471,tree
-8.6576365,41.2790275,3392202027,tree
-8.6579515,41.2792003,3392198403,tree
-8.6579119,41.279226,3392207200,tree
-8.657698,41.2791272,3392204279,tree
-8.6575839,41.2792303,4095445887,tree
-8.6578502,41.2792497,3392207139,tree
-8.6578649,41.2793216,4095445881,tree
-8.6578152,41.2793155,4095445882,tree
-8.6577663,41.2793049,4095445883,tree
-8.6579064,41.2793352,4095445880,tree
-8.6576724,41.2792671,4095445885,tree
-8.6577187,41.2792898,4095445884,tree
-8.6576188,41.2792475,4095445886,tree
-8.6565511,41.278893,4093560980,tree
-8.6567147,41.2789676,4093560978,tree
-8.6565752,41.2789737,4093560979,tree
-8.6565672,41.2790361,4093560977,tree
-8.6560249,41.278872,4091107917,tree
-8.6560495,41.2789102,4093560976,tree
-8.6555341,41.2789486,4091107915,tree
-8.6555877,41.2790292,4091107916,tree
-8.6557232,41.2798023,4091107797,tree
-8.6526197,41.2837508,4095483358,tree
-8.6527364,41.2838052,4095483292,tree
-8.6525044,41.2837135,4095483293,tree
-8.6520348,41.2835256,4095483288,tree
-8.6519076,41.2834797,4095483290,tree
-8.6519739,41.2835001,4095483289,tree
-8.6521611,41.2835664,4095483286,tree
-8.6520779,41.2835593,4095483287,tree
-8.652326,41.2838375,4095483357,tree
-8.6536137,41.2845062,4095443122,tree
-8.6523632,41.283925,4095483356,tree
